Date,YY,MM,DD,HRI_Tidbit,pred_via_44029_20m,pred_via_DB,pred_via_HRO,pred_via_44098,pred_via_44013,pred_via_44005,pred_via_OISST,pred_via_SHI,pred_via_SHO,pred_via_44029_2m,final_value
1979-01-01,1979,1,1,NA,NA,NA,NA,NA,NA,5.408897529375094,NA,NA,NA,NA,5.408897529375094
1979-01-02,1979,1,2,NA,NA,NA,NA,NA,NA,5.6290361837851375,NA,NA,NA,NA,5.6290361837851375
1979-01-03,1979,1,3,NA,NA,NA,NA,NA,NA,5.450173526870597,NA,NA,NA,NA,5.450173526870597
1979-01-04,1979,1,4,NA,NA,NA,NA,NA,NA,5.2651958492719295,NA,NA,NA,NA,5.2651958492719295
1979-01-05,1979,1,5,NA,NA,NA,NA,NA,NA,5.289655758098734,NA,NA,NA,NA,5.289655758098734
1979-01-06,1979,1,6,NA,NA,NA,NA,NA,NA,4.996137027187483,NA,NA,NA,NA,4.996137027187483
1979-01-07,1979,1,7,NA,NA,NA,NA,NA,NA,4.996137027187483,NA,NA,NA,NA,4.996137027187483
1979-01-08,1979,1,8,NA,NA,NA,NA,NA,NA,5.161241280235439,NA,NA,NA,NA,5.161241280235439
1979-01-09,1979,1,9,NA,NA,NA,NA,NA,NA,5.106206484824783,NA,NA,NA,NA,5.106206484824783
1979-01-10,1979,1,10,NA,NA,NA,NA,NA,NA,4.886067699432115,NA,NA,NA,NA,4.886067699432115
1979-01-11,1979,1,11,NA,NA,NA,NA,NA,NA,4.803515704441108,NA,NA,NA,NA,4.803515704441108
1979-01-12,1979,1,12,NA,NA,NA,NA,NA,NA,4.734722374181243,NA,NA,NA,NA,4.734722374181243
1979-01-13,1979,1,13,NA,NA,NA,NA,NA,NA,4.7347223092402775,NA,NA,NA,NA,4.7347223092402775
1979-01-14,1979,1,14,NA,NA,NA,NA,NA,NA,4.8310330361047775,NA,NA,NA,NA,4.8310330361047775
1979-01-15,1979,1,15,NA,NA,NA,NA,NA,NA,4.748481040013077,NA,NA,NA,NA,4.748481040013077
1979-01-16,1979,1,16,NA,NA,NA,NA,NA,NA,4.652170313148578,NA,NA,NA,NA,4.652170313148578
1979-01-17,1979,1,17,NA,NA,NA,NA,NA,NA,4.569617990150663,NA,NA,NA,NA,4.569617990150663
1979-01-18,1979,1,18,NA,NA,NA,NA,NA,NA,4.597135321814332,NA,NA,NA,NA,4.597135321814332
1979-01-19,1979,1,19,NA,NA,NA,NA,NA,NA,4.739308596492086,NA,NA,NA,NA,4.739308596492086
1979-01-20,1979,1,20,NA,NA,NA,NA,NA,NA,4.597135321814332,NA,NA,NA,NA,4.597135321814332
1979-01-21,1979,1,21,NA,NA,NA,NA,NA,NA,4.734722243198618,NA,NA,NA,NA,4.734722243198618
1979-01-22,1979,1,22,NA,NA,NA,NA,NA,NA,4.913585031095784,NA,NA,NA,NA,4.913585031095784
1979-01-23,1979,1,23,NA,NA,NA,NA,NA,NA,4.791722561670568,NA,NA,NA,NA,4.791722561670568
1979-01-24,1979,1,24,NA,NA,NA,NA,NA,NA,4.734722374181243,NA,NA,NA,NA,4.734722374181243
1979-01-25,1979,1,25,NA,NA,NA,NA,NA,NA,4.820026102778893,NA,NA,NA,NA,4.820026102778893
1979-01-26,1979,1,26,NA,NA,NA,NA,NA,NA,4.954861028591287,NA,NA,NA,NA,4.954861028591287
1979-01-27,1979,1,27,NA,NA,NA,NA,NA,NA,5.05117175655648,NA,NA,NA,NA,5.05117175655648
1979-01-28,1979,1,28,NA,NA,NA,NA,NA,NA,5.009895693019318,NA,NA,NA,NA,5.009895693019318
1979-01-29,1979,1,29,NA,NA,NA,NA,NA,NA,5.078689153161115,NA,NA,NA,NA,5.078689153161115
1979-01-30,1979,1,30,NA,NA,NA,NA,NA,NA,5.07868902217849,NA,NA,NA,NA,5.07868902217849
1979-01-31,1979,1,31,NA,NA,NA,NA,NA,NA,5.119965085715652,NA,NA,NA,NA,5.119965085715652
1979-02-01,1979,2,1,NA,NA,NA,NA,NA,NA,4.758649545517427,NA,NA,NA,NA,4.758649545517427
1979-02-02,1979,2,2,NA,NA,NA,NA,NA,NA,4.583127830416853,NA,NA,NA,NA,4.583127830416853
1979-02-03,1979,2,3,NA,NA,NA,NA,NA,NA,4.431009059216259,NA,NA,NA,NA,4.431009059216259
1979-02-04,1979,2,4,NA,NA,NA,NA,NA,NA,4.442710503082758,NA,NA,NA,NA,4.442710503082758
