Date,YY,MM,DD,HRO_Tidbit,pred_via_DB,pred_via_44029_20m,pred_via_HRI,pred_via_44013,pred_via_44098,pred_via_44005,pred_via_OISST,pred_via_SHI,pred_via_SHO,pred_via_44029_2m,final_value
1979-01-01,1979,1,1,NA,NA,NA,NA,NA,NA,5.652674008445617,NA,NA,NA,NA,5.652674008445617
1979-01-02,1979,1,2,NA,NA,NA,NA,NA,NA,5.7205522695085,NA,NA,NA,NA,5.7205522695085
1979-01-03,1979,1,3,NA,NA,NA,NA,NA,NA,5.665401182331271,NA,NA,NA,NA,5.665401182331271
1979-01-04,1979,1,4,NA,NA,NA,NA,NA,NA,5.608364569999388,NA,NA,NA,NA,5.608364569999388
1979-01-05,1979,1,5,NA,NA,NA,NA,NA,NA,5.615906616994131,NA,NA,NA,NA,5.615906616994131
1979-01-06,1979,1,6,NA,NA,NA,NA,NA,NA,5.525402107020481,NA,NA,NA,NA,5.525402107020481
1979-01-07,1979,1,7,NA,NA,NA,NA,NA,NA,5.525402107020481,NA,NA,NA,NA,5.525402107020481
1979-01-08,1979,1,8,NA,NA,NA,NA,NA,NA,5.5763108836776984,NA,NA,NA,NA,5.5763108836776984
1979-01-09,1979,1,9,NA,NA,NA,NA,NA,NA,5.55934127776983,NA,NA,NA,NA,5.55934127776983
1979-01-10,1979,1,10,NA,NA,NA,NA,NA,NA,5.491462976319344,NA,NA,NA,NA,5.491462976319344
1979-01-11,1979,1,11,NA,NA,NA,NA,NA,NA,5.4660086285480345,NA,NA,NA,NA,5.4660086285480345
1979-01-12,1979,1,12,NA,NA,NA,NA,NA,NA,5.444796671732552,NA,NA,NA,NA,5.444796671732552
1979-01-13,1979,1,13,NA,NA,NA,NA,NA,NA,5.444796651708446,NA,NA,NA,NA,5.444796651708446
1979-01-14,1979,1,14,NA,NA,NA,NA,NA,NA,5.4744934111384715,NA,NA,NA,NA,5.4744934111384715
