proxy,tidbit,YY,MM,temp_c,interpolate,is_interpolated,temp_c_complete,date
godas_15,HRI_Tidbit,1979,1,NA,NA,TRUE,NA,1979-01-01
godas_15,HRI_Tidbit,1979,10,NA,NA,TRUE,NA,1979-10-01
godas_15,HRI_Tidbit,1979,11,NA,NA,TRUE,NA,1979-11-01
godas_15,HRI_Tidbit,1979,12,NA,NA,TRUE,NA,1979-12-01
godas_15,HRI_Tidbit,1979,2,NA,NA,TRUE,NA,1979-02-01
godas_15,HRI_Tidbit,1979,3,NA,NA,TRUE,NA,1979-03-01
godas_15,HRI_Tidbit,1979,4,NA,NA,TRUE,NA,1979-04-01
godas_15,HRI_Tidbit,1979,5,NA,NA,TRUE,NA,1979-05-01
godas_15,HRI_Tidbit,1979,6,NA,NA,TRUE,NA,1979-06-01
godas_15,HRI_Tidbit,1979,7,NA,NA,TRUE,NA,1979-07-01
godas_15,HRI_Tidbit,1979,8,NA,NA,TRUE,NA,1979-08-01
godas_15,HRI_Tidbit,1979,9,NA,NA,TRUE,NA,1979-09-01
godas_15,HRI_Tidbit,1980,1,NA,5.894204029226123,TRUE,5.894204029226123,1980-01-01
godas_15,HRI_Tidbit,1980,10,NA,9.60976363146926,TRUE,9.60976363146926,1980-10-01
godas_15,HRI_Tidbit,1980,11,NA,8.05468219453165,TRUE,8.05468219453165,1980-11-01
godas_15,HRI_Tidbit,1980,12,NA,6.791130463337598,TRUE,6.791130463337598,1980-12-01
godas_15,HRI_Tidbit,1980,2,NA,4.733486222823527,TRUE,4.733486222823527,1980-02-01
godas_15,HRI_Tidbit,1980,3,NA,4.114676373830642,TRUE,4.114676373830642,1980-03-01
godas_15,HRI_Tidbit,1980,4,NA,4.663737995573671,TRUE,4.663737995573671,1980-04-01
godas_15,HRI_Tidbit,1980,5,NA,6.240280425511239,TRUE,6.240280425511239,1980-05-01
godas_15,HRI_Tidbit,1980,6,NA,7.847225928865412,TRUE,7.847225928865412,1980-06-01
godas_15,HRI_Tidbit,1980,7,NA,9.391558985142215,TRUE,9.391558985142215,1980-07-01
godas_15,HRI_Tidbit,1980,8,NA,10.158807369051457,TRUE,10.158807369051457,1980-08-01
godas_15,HRI_Tidbit,1980,9,NA,11.768435496530625,TRUE,11.768435496530625,1980-09-01
godas_15,HRI_Tidbit,1981,1,NA,5.437245835774569,TRUE,5.437245835774569,1981-01-01
godas_15,HRI_Tidbit,1981,10,NA,8.66365575506622,TRUE,8.66365575506622,1981-10-01
godas_15,HRI_Tidbit,1981,11,NA,7.349134165497277,TRUE,7.349134165497277,1981-11-01
godas_15,HRI_Tidbit,1981,12,NA,5.779745399893027,TRUE,5.779745399893027,1981-12-01
godas_15,HRI_Tidbit,1981,2,NA,4.3954755830742265,TRUE,4.3954755830742265,1981-02-01
godas_15,HRI_Tidbit,1981,3,NA,4.09589800495568,TRUE,4.09589800495568,1981-03-01
godas_15,HRI_Tidbit,1981,4,NA,4.752264591698488,TRUE,4.752264591698488,1981-04-01
godas_15,HRI_Tidbit,1981,5,NA,6.243857257677899,TRUE,6.243857257677899,1981-05-01
godas_15,HRI_Tidbit,1981,6,NA,8.756653391399361,TRUE,8.756653391399361,1981-06-01
godas_15,HRI_Tidbit,1981,7,NA,10.690879038002855,TRUE,10.690879038002855,1981-07-01
godas_15,HRI_Tidbit,1981,8,NA,11.382137622531424,TRUE,11.382137622531424,1981-08-01
godas_15,HRI_Tidbit,1981,9,NA,11.60837225707262,TRUE,11.60837225707262,1981-09-01
godas_15,HRI_Tidbit,1982,1,NA,4.716496270031895,TRUE,4.716496270031895,1982-01-01
godas_15,HRI_Tidbit,1982,10,NA,7.888359498781994,TRUE,7.888359498781994,1982-10-01
godas_15,HRI_Tidbit,1982,11,NA,6.868032354920773,TRUE,6.868032354920773,1982-11-01
godas_15,HRI_Tidbit,1982,12,NA,6.406603121260895,TRUE,6.406603121260895,1982-12-01
godas_15,HRI_Tidbit,1982,2,NA,3.838366088956214,TRUE,3.838366088956214,1982-02-01
godas_15,HRI_Tidbit,1982,3,NA,3.723907459623118,TRUE,3.723907459623118,1982-03-01
godas_15,HRI_Tidbit,1982,4,NA,4.521558916948965,TRUE,4.521558916948965,1982-04-01
godas_15,HRI_Tidbit,1982,5,NA,5.305797253649842,TRUE,5.305797253649842,1982-05-01
