MM,DD,YY,HRO_AverageTemp,HRO_MaxTemp,HRO_TempDifference,Samples_per_day
1,1,2000,6.445625000000001,6.48,0.03437499999999982,48
1,1,2002,6.688958333333334,6.85,0.16104166666666586,48
1,1,2005,5.011666666666667,5.09,0.07833333333333314,48
1,1,2008,4.992916666666667,5.15,0.15708333333333346,48
1,1,2009,9.601875,11.88,2.278125000000001,48
1,1,2010,5.051458333333334,5.42,0.3685416666666663,48
1,1,2012,7.925625,8.07,0.14437500000000014,48
1,1,2013,8.1603125,8.568,0.40768749999999976,48
1,1,2014,5.726270833333333,6.051,0.32472916666666674,48
1,1,2015,6.401916666666667,6.839,0.4370833333333337,48
1,2,2000,6.178333333333334,6.48,0.30166666666666675,48
1,2,2002,6.463125,6.69,0.2268750000000006,48
1,2,2005,4.9662500000000005,5.25,0.2837499999999995,48
1,2,2008,5.198333333333334,5.44,0.24166666666666625,48
1,2,2009,9.210208333333334,11.26,2.049791666666666,48
1,2,2010,5.2025,5.42,0.21750000000000025,48
1,2,2012,7.8434375,8.02,0.1765624999999993,48
1,2,2013,7.68125,8.394,0.7127499999999998,48
1,2,2014,5.5008125,5.796,0.29518749999999994,48
1,2,2015,7.088375,7.695,0.6066250000000002,48
1,3,2000,5.982083333333334,6.17,0.1879166666666663,48
1,3,2002,6.506666666666667,6.54,0.033333333333333215,48
1,3,2005,5.363333333333333,5.41,0.046666666666666856,48
1,3,2008,4.793541666666667,4.86,0.06645833333333329,48
1,3,2009,7.969166666666666,8.78,0.8108333333333331,48
1,3,2010,4.7977083333333335,5.42,0.6222916666666665,48
1,3,2012,7.951770833333334,8.07,0.11822916666666661,48
1,3,2013,7.194020833333333,7.594,0.3999791666666672,48
1,3,2014,4.8698958333333335,5.462,0.5921041666666662,48
1,3,2015,6.021375,6.331,0.3096250000000005,48
1,4,2000,5.976666666666667,6.02,0.043333333333333,48
1,4,2002,6.379166666666666,6.54,0.1608333333333336,48
1,4,2005,5.25,5.41,0.16000000000000014,48
1,4,2008,4.461250000000001,4.57,0.10874999999999968,48
1,4,2009,7.764166666666667,8.63,0.8658333333333337,48
1,4,2010,4.537916666666667,4.84,0.30208333333333304,48
1,4,2012,7.561333333333334,7.745,0.18366666666666642,48
1,4,2013,7.499104166666666,7.77,0.27089583333333334,48
1,4,2014,4.5054375,4.74,0.2345625,48
1,4,2015,6.353416666666667,6.788,0.4345833333333333,48
1,5,2000,6.069583333333333,6.17,0.10041666666666682,48
1,5,2002,6.116875,6.23,0.11312500000000014,48
1,5,2005,4.9852083333333335,5.41,0.4247916666666667,48
1,5,2008,4.28,4.86,0.5800000000000001,48
1,5,2009,9.296041666666667,10.48,1.183958333333333,48
1,5,2010,4.525833333333333,4.55,0.02416666666666689,48
1,5,2012,7.145604166666667,7.419,0.27339583333333284,48
1,5,2013,7.035208333333333,7.469,0.433791666666667,48
1,5,2014,4.3894166666666665,4.714,0.3245833333333339,48
1,5,2015,7.12675,8.07,0.9432499999999999,48
1,6,2000,5.898333333333333,6.02,0.12166666666666615,48
1,6,2002,6.236458333333333,6.54,0.3035416666666668,48
1,6,2005,4.78,4.78,0,48
1,6,2008,4.394791666666667,4.57,0.17520833333333297,48
1,6,2009,9.551874999999999,9.86,0.3081250000000004,48
1,6,2010,4.4775,4.55,0.07249999999999979,48
1,6,2012,6.922645833333333,7.318,0.39535416666666645,48
1,6,2013,6.366104166666666,6.661,0.29489583333333336,48
1,6,2014,4.792395833333333,4.921,0.1286041666666673,48
1,6,2015,6.8974166666666665,7.066,0.1685833333333333,48
1,7,2000,5.632291666666666,5.86,0.22770833333333407,48
1,7,2002,6.375416666666666,6.54,0.16458333333333375,48
1,7,2005,4.86,4.94,0.08000000000000007,48
1,7,2008,4.28,4.57,0.29000000000000004,48
1,7,2009,7.468333333333334,9.24,1.7716666666666665,48
1,7,2010,4.320416666666667,4.84,0.5195833333333333,48
1,7,2012,6.928916666666667,7.368,0.4390833333333335,48
1,7,2013,6.041,6.357,0.31599999999999984,48
1,7,2014,4.636541666666667,4.766,0.129458333333333,48
1,7,2015,6.643416666666667,6.864,0.2205833333333329,48
1,8,2000,5.689375,5.86,0.17062500000000025,48
1,8,2002,6.262083333333334,6.38,0.117916666666666,48
1,8,2005,4.733125,4.94,0.20687500000000014,48
1,8,2008,4.261875,4.57,0.3081250000000004,48
1,8,2009,8.075833333333334,9.09,1.0141666666666662,48
1,8,2010,4.235833333333333,4.26,0.02416666666666689,48
1,8,2012,6.797979166666667,6.889,0.09102083333333333,48
1,8,2013,6.376333333333333,6.611,0.23466666666666658,48
1,8,2014,4.650625,4.74,0.08937500000000043,48
1,8,2015,6.2805,6.484,0.20350000000000001,48
1,9,2000,5.8325000000000005,6.02,0.1874999999999991,48
1,9,2002,6.080208333333333,6.23,0.1497916666666672,48
1,9,2005,4.651041666666667,4.78,0.12895833333333329,48
1,9,2008,4.5216666666666665,4.86,0.3383333333333338,48
1,9,2009,10.359166666666667,12.03,1.6708333333333325,48
1,9,2010,4.380833333333333,4.55,0.16916666666666647,48
1,9,2012,6.8831875,7.192,0.30881250000000016,48
1,9,2013,6.349354166666667,6.585,0.2356458333333329,48
1,9,2014,4.394958333333333,4.558,0.16304166666666653,48
1,9,2015,6.259291666666667,6.331,0.07170833333333348,48
1,10,2000,5.870625,6.02,0.14937499999999915,48
1,10,2002,5.73625,6.23,0.49375000000000036,48
1,10,2005,4.7370833333333335,5.09,0.3529166666666663,48
1,10,2008,4.67875,4.86,0.18125000000000036,48
1,10,2009,8.735416666666667,9.55,0.8145833333333332,48
1,10,2010,4.1935416666666665,4.26,0.06645833333333329,48
1,10,2012,6.793291666666667,6.965,0.17170833333333313,48
1,10,2013,6.4201875,6.813,0.3928124999999998,48
1,10,2014,4.306666666666667,4.454,0.1473333333333331,48
1,10,2015,5.949166666666667,6.077,0.12783333333333324,48
1,11,2000,5.811458333333333,6.02,0.20854166666666618,48
1,11,2002,5.800833333333333,5.92,0.11916666666666664,48
1,11,2005,4.555208333333333,4.94,0.38479166666666753,48
1,11,2008,4.57,4.86,0.29000000000000004,48
1,11,2009,7.5825000000000005,8.63,1.0475000000000003,48
1,11,2010,3.9458333333333333,4.26,0.3141666666666665,48
1,11,2012,6.9980416666666665,7.167,0.16895833333333332,48
1,11,2013,6.923166666666667,7.041,0.11783333333333346,48
1,11,2014,4.2323125,4.35,0.11768749999999972,48
1,11,2015,5.933166666666667,6.051,0.11783333333333346,48
1,12,2000,5.970208333333333,6.02,0.04979166666666668,48
1,12,2002,5.903333333333333,5.92,0.016666666666666607,48
1,12,2005,4.53375,4.78,0.24624999999999986,48
1,12,2008,4.612291666666667,4.86,0.24770833333333364,48
1,12,2009,8.548958333333333,8.78,0.23104166666666615,48
1,12,2010,3.555,3.68,0.125,48
1,12,2012,6.751229166666667,7.091,0.3397708333333336,48
1,12,2013,6.882645833333333,7.066,0.1833541666666667,48
1,12,2014,4.395395833333334,4.688,0.2926041666666661,48
1,12,2015,5.774166666666667,6,0.2258333333333331,48
1,13,2000,5.891666666666667,6.02,0.12833333333333297,48
1,13,2002,5.9575,6.07,0.11250000000000071,48
1,13,2005,4.651041666666667,4.78,0.12895833333333329,48
1,13,2008,4.576041666666667,4.86,0.28395833333333353,48
1,13,2009,8.73625,8.93,0.19374999999999964,48
1,13,2010,3.7458333333333336,3.97,0.22416666666666663,48
1,13,2012,6.587395833333333,6.763,0.175604166666667,48
1,13,2013,6.372166666666667,6.864,0.4918333333333331,48
1,13,2014,4.620833333333334,4.818,0.19716666666666605,48
1,13,2015,5.643125,5.745,0.10187499999999972,48
1,14,2000,5.378333333333333,5.86,0.48166666666666735,48
1,14,2002,5.8933333333333335,5.92,0.026666666666666394,48
1,14,2005,4.822291666666667,5.41,0.5877083333333335,48
1,14,2008,4.57,4.57,0,48
1,14,2009,8.67375,8.78,0.10624999999999929,48
1,14,2010,4.2056249999999995,4.55,0.3443750000000003,48
1,14,2012,6.576333333333333,6.687,0.11066666666666691,48
1,14,2013,6.053791666666666,6.509,0.4552083333333341,48
1,14,2014,4.5645,4.714,0.14950000000000063,48
1,14,2015,5.244916666666667,5.308,0.06308333333333316,48
1,15,2000,4.3064583333333335,4.77,0.4635416666666661,48
1,15,2002,5.811458333333333,6.07,0.2585416666666669,48
1,15,2005,4.714583333333334,4.94,0.22541666666666682,48
1,15,2008,4.739166666666667,4.86,0.12083333333333357,48
1,15,2009,8.661458333333334,9.09,0.42854166666666593,48
1,15,2010,3.9941666666666666,4.26,0.26583333333333314,48
1,15,2012,6.014083333333334,6.484,0.4699166666666663,48
1,15,2013,6.10525,6.255,0.14975000000000005,48
1,15,2014,4.5645,4.74,0.17550000000000043,48
1,15,2015,4.956583333333334,5.05,0.09341666666666626,48
1,16,2000,3.8558333333333334,4.61,0.7541666666666669,48
1,16,2002,5.611458333333333,5.76,0.14854166666666657,48
1,16,2005,4.673541666666667,4.94,0.26645833333333346,48
1,16,2008,4.624375000000001,4.86,0.23562499999999975,48
1,16,2009,9.223958333333334,9.55,0.3260416666666668,48
1,16,2010,3.9639583333333337,4.26,0.2960416666666661,48
1,16,2012,5.252208333333333,5.462,0.20979166666666682,48
1,16,2013,5.934708333333333,6.102,0.16729166666666728,48
1,16,2014,4.602416666666667,4.766,0.16358333333333341,48
1,16,2015,4.876375,5.154,0.27762499999999957,48
1,17,2000,4.355625,5.08,0.7243750000000002,48
1,17,2002,5.583541666666667,5.76,0.17645833333333272,48
1,17,2005,4.870416666666667,4.94,0.06958333333333311,48
1,17,2008,4.2195833333333335,4.28,0.060416666666666785,48
1,17,2009,9.100208333333333,9.4,0.29979166666666757,48
1,17,2010,4.15125,4.26,0.10874999999999968,48
1,17,2012,5.722916666666666,6.102,0.3790833333333339,48
1,17,2013,6.085229166666666,6.204,0.11877083333333349,48
1,17,2014,4.643041666666667,4.74,0.09695833333333326,48
1,17,2015,4.1338333333333335,4.376,0.24216666666666686,48
1,18,2000,4.17375,4.77,0.5962499999999995,48
1,18,2002,5.503333333333334,5.61,0.10666666666666647,48
1,18,2005,4.471666666666667,4.94,0.4683333333333337,48
1,18,2008,4.400833333333334,4.57,0.16916666666666647,48
1,18,2009,9.076458333333333,9.24,0.16354166666666714,48
